sku,name,category,cas_number,description,price,active,ruo_disclaimer
,Retatrutide,Metabolic/Weight Loss,2381089-83-2,A synthetic triple agonist peptide (GIP/GLP-1/glucagon receptors) studied in preclinical and clinical research for effects on body weight and metabolic parameters.,80,TRUE,For laboratory research use only. Not for human consumption.
,Tirzepatide,Metabolic/Weight Loss,2023788-19-2,A synthetic dual GIP/GLP-1 receptor agonist peptide studied in research settings for effects on glucose regulation and body weight.,50,TRUE,For laboratory research use only. Not for human consumption.
,Semaglutide,Metabolic/Weight Loss,910463-68-2,A synthetic GLP-1 receptor agonist peptide studied in preclinical and clinical research for effects on glucose homeostasis and appetite regulation.,60,TRUE,For laboratory research use only. Not for human consumption.
,AOD-9604,Metabolic/Weight Loss,221231-10-3,A modified fragment of human growth hormone (hGH 176-191) studied in preclinical research for its effects on lipid metabolism.,45,TRUE,For laboratory research use only. Not for human consumption.
,5-Amino-1MQ,Metabolic/Weight Loss,42464-96-0,A small-molecule NNMT (nicotinamide N-methyltransferase) inhibitor studied in preclinical models for effects on cellular metabolism.,40,TRUE,For laboratory research use only. Not for human consumption.
,SLU-PP-332,Metabolic/Weight Loss,303760-60-3,A synthetic ERR (estrogen-related receptor) agonist studied preclinically for effects on mitochondrial biogenesis and exercise-mimetic metabolic pathways.,,TRUE,For laboratory research use only. Not for human consumption.
,Tesamorelin,Growth Hormone/Endocrine,218949-48-5,A synthetic growth-hormone-releasing hormone (GHRH) analog studied in research for its effects on growth hormone secretion and visceral fat metabolism.,55,TRUE,For laboratory research use only. Not for human consumption.
,CJC-1295/Ipamorelin,Growth Hormone/Endocrine,863288-34-0 (CJC-1295 no-DAC) / 170851-70-4 (Ipamorelin),"Two synthetic peptides, a GHRH analog (CJC-1295) and a selective GH-secretagogue peptide (Ipamorelin), studied for effects on pulsatile growth hormone release.",55,TRUE,For laboratory research use only. Not for human consumption.
,Sermorelin,Growth Hormone/Endocrine,86168-78-7,A synthetic 29-amino-acid fragment of human GHRH studied in research for its effects on growth hormone secretion.,45,TRUE,For laboratory research use only. Not for human consumption.
,GHRP-6,Growth Hormone/Endocrine,145177-42-0 (acetate),A synthetic hexapeptide ghrelin-receptor secretagogue studied in preclinical research for effects on growth hormone release and appetite signaling.,25,TRUE,For laboratory research use only. Not for human consumption.
,IGF-1 LR3,Growth Hormone/Endocrine,946870-92-4,A long-acting recombinant analog of insulin-like growth factor 1 studied in preclinical research for effects on cell proliferation and anabolic signaling pathways.,65,TRUE,For laboratory research use only. Not for human consumption.
,HCG 10000IU,Growth Hormone/Endocrine,9002-61-3,"A glycoprotein hormone derived from placental tissue, studied in research contexts for its interaction with LH/hCG receptor signaling in reproductive endocrinology.",50,TRUE,For laboratory research use only. Not for human consumption.
,KPV,Inflammation/Recovery,67727-97-3,A tripeptide fragment of alpha-melanocyte-stimulating hormone (a-MSH 11-13) studied in preclinical models for anti-inflammatory signaling activity.,35,TRUE,For laboratory research use only. Not for human consumption.
